2023-05-23 19:05:42.164 [main] INFO  com.soft2242.one.ServerApplication - The following 1 profile is active: "dev"
2023-05-23 19:05:43.392 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-23 19:05:43.395 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-23 19:05:43.455 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 40 ms. Found 0 Redis repository interfaces.
2023-05-23 19:05:44.560 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-23 19:05:44.574 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-23 19:05:44.575 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-23 19:05:44.575 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-23 19:05:44.691 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-23 19:05:44.692 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2457 ms
2023-05-23 19:05:45.335 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-05-23 19:05:45.349 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2023-05-23 19:08:27.824 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-05-23 19:08:27.893 [main] INFO  com.soft2242.one.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 9524 (C:\Users\lenovo\Desktop\新建文件夹\community-admin-api\admin-api-server\target\classes started by lenovo in C:\Users\lenovo\Desktop\新建文件夹\community-admin-api)
2023-05-23 19:08:27.895 [main] INFO  com.soft2242.one.ServerApplication - The following 1 profile is active: "dev"
2023-05-23 19:08:29.067 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-23 19:08:29.070 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-23 19:08:29.128 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 40 ms. Found 0 Redis repository interfaces.
2023-05-23 19:08:30.160 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-23 19:08:30.171 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-23 19:08:30.172 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-23 19:08:30.173 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-23 19:08:30.283 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
